,activity_id,distance,previous_climb,previous_distance,ride_idx,score,start,stop,time_riding,velocity
0,219617830,"(0.0, 6.2121739346564437)",0.0,0.0,1,27618.920625263974,0,194,0,10.748685158041845
1,219617830,"(7.1096847154734242, 16.006188872457034)",286.8000000000004,7.109684715473424,1,65777.40924765554,222,500,2642,6.94585326725174
0,190850178,"(11.036946822921198, 14.506816458921049)",173.5999999999999,11.036946822921198,2,17226.194102682202,108,142,2526,10.992052332245558
1,190850178,"(28.505412156536224, 36.270210148259537)",412.29999999999905,28.505412156536224,2,35177.004108771645,279,355,7041,10.781652658137002
2,190850178,"(36.884623510258869, 39.336373917258008)",825.799999999999,36.88462351025887,2,9552.32486718882,361,385,10273,12.885435904599994
3,190850178,"(61.404488796649559, 68.862266519194208)",1060.799999999998,61.40448879664956,2,31808.96665115102,601,674,17378,8.144104004958942
4,190850178,"(72.543837846570639, 77.036735556190749)",1434.1999999999982,72.54383784657064,2,11546.18758443099,710,754,24855,11.733651931569453
5,190850178,"(85.415760498092396, 101.25088545614973)",1656.6999999999987,85.4157604980924,2,30457.968408426474,836,991,28925,11.343986724368074
0,189428156,"(3.8669268147190774, 8.2087688120596027)",49.30000000000041,3.8669268147190774,3,14898.169060848824,237,503,832,12.77460427616046
0,142269399,"(0.0, 7.9722122112170206)",0.0,0.0,4,73068.93277593299,0,507,0,6.619911217604728
0,141146793,"(3.8333105496663231, 8.1711757614922895)",48.90000000000032,3.833310549666323,5,14770.494049744802,236,503,820,14.24741400988377
0,140741582,"(3.7921756745001054, 8.1197882361713507)",48.90000000000032,3.7921756745001054,6,14748.98497766765,234,501,813,13.110166771028725
0,140051885,"(0.30298134639044583, 3.5338710278747811)",0.20000000000004547,0.3029813463904458,7,9156.354787355544,15,176,100,13.004756325074688
1,140051885,"(4.2178159991052233, 7.1515031006499568)",93.60000000000014,4.217815999105223,7,19700.651463060614,210,356,1179,9.530823058318823
0,139664028,"(10.685933363987722, 13.49056134813029)",80.30000000000064,10.685933363987722,8,19605.065508058844,198,250,1976,9.617943014653022
1,139664028,"(14.568518771670375, 23.526476692308648)",284.80000000000086,14.568518771670375,8,63697.8031013163,270,436,3907,8.02587067191464
2,139664028,"(29.839623696670685, 35.397243590540221)",995.2000000000016,29.839623696670685,8,21717.97278353556,553,656,12996,10.180052482558178
3,139664028,"(50.666422260056919, 53.472976499683099)",1299.2000000000012,50.66642226005692,8,9568.371132586628,939,991,20690,12.564702346738775
0,138613712,"(3.8110654056942601, 8.1249456298855431)",49.200000000000045,3.81106540569426,9,14910.275401919967,235,501,804,13.981358612044216
0,138350363,"(3.8348018442342826, 8.1566356394546826)",49.299999999999955,3.8348018442342826,10,14989.154967629123,236,502,816,14.212143580634443
0,137869212,"(4.3292902680601992, 8.6897734475002171)",49.70000000000027,4.329290268060199,11,14481.386509015505,258,518,1123,12.958247927048975
0,137071333,"(2.2413535983695181, 6.7328221506953163)",17.300000000000182,2.241353598369518,12,14171.324801141944,31,93,661,12.961791101079037
1,137071333,"(45.530279493456945, 50.743721028496154)",935.8999999999992,45.530279493456945,12,19199.80611802264,628,700,15757,11.221637916452282
2,137071333,"(51.248524239750459, 53.057464550685374)",1201.2,51.24852423975046,12,9258.148409772595,707,732,18508,10.128770048453063
0,136373866,"(3.8330620005716631, 8.1899412181391131)",49.00000000000023,3.833062000571663,13,14781.848987541453,236,504,869,13.685858902057848
0,135921721,"(3.7968359700249792, 8.1426547528800626)",48.999999999999545,3.796835970024979,14,14837.024172249068,234,502,911,13.56577824203817
0,134934515,"(0.16932407073707234, 7.0382268507586963)",0.0,0.16932407073707234,15,27752.23884928717,5,211,53,11.869736277484956
1,134934515,"(8.1034461331974601, 12.872916847900383)",300.39999999999986,8.10344613319746,15,19955.47039981092,243,386,3290,10.668315705194876
2,134934515,"(15.774727528054981, 18.641927746778183)",564.4000000000001,15.774727528054981,15,18734.217786836816,473,559,6695,8.034850025042394
0,133447892,"(3.7891309480905218, 8.1163085488461117)",49.20000000000027,3.7891309480905218,16,14961.266201798358,234,501,860,12.342699845058775
0,133080201,"(2.9865659214336313, 7.3279729578585018)",47.59999999999991,2.9865659214336313,17,14876.974465296757,194,476,677,11.617821389576873
0,132009107,"(0.0, 8.0109858699839691)",0.0,0.0,18,87167.35144302374,0,152,0,5.995788074904007
1,132009107,"(16.443635279058498, 18.552263660879618)",1120.0999999999983,16.443635279058498,18,9140.802022614584,312,352,10723,13.109000007945006
2,132009107,"(23.66647196987585, 29.517255520896768)",1244.1999999999982,23.66647196987585,18,44724.7477441038,448,559,12794,7.867759176360465
0,131681488,"(3.7694334323387229, 8.1245728062435543)",48.799999999999955,3.769433432338723,19,14718.01747644145,233,502,828,13.62947998565968
0,130962018,"(6.4202716641604631, 9.259634384281755)",113.49999999999977,6.420271664160463,20,10336.975585136839,371,535,1801,11.5570172554631
0,186634014,"(3.8078964047373458, 8.155392893981384)",49.200000000000045,3.807896404737346,21,14906.740441974649,235,503,816,12.172386579884819
0,186194042,"(3.7825443970820336, 8.1635950141051623)",49.100000000000136,3.7825443970820336,22,14735.792166728372,233,503,789,13.019467330228236
0,184385193,"(8.7477475238296449, 13.26512731927374)",65.90000000000077,8.747747523829645,24,15377.470509308332,120,182,1843,13.871824120780229
1,184385193,"(52.115774168292596, 57.288453651807579)",1007.000000000002,52.115774168292596,24,23015.59962315152,715,786,15149,12.297445815351656
2,184385193,"(57.869934258764459, 59.693041868094994)",1263.9000000000017,57.86993425876446,24,9350.628140846073,794,819,17316,10.674489812956171
0,183042679,"(3.8083935029266658, 8.1411013210384375)",48.80000000000018,3.808393502926666,25,15010.591266114174,235,502,813,13.095098921541613
0,181190297,"(5.0475350143537101, 12.212956864304623)",26.19999999999959,5.04753501435371,26,40206.233480952265,69,167,970,10.53910063695984
1,181190297,"(13.310798215417501, 15.579305802378617)",434.2000000000003,13.3107982154175,26,9326.445487687522,182,213,4157,12.430829494314832
2,181190297,"(29.553605825990783, 36.281705543887554)",639.6999999999994,29.553605825990783,26,11407.172970172287,404,496,7842,15.853194798375617
3,181190297,"(40.816483775957849, 45.86302459393292)",869.0999999999995,40.81648377595785,26,14758.878557334687,558,627,11498,13.296690740673663
4,181190297,"(59.97937042514323, 63.196403494600276)",1379.3000000000002,59.97937042514323,26,15040.736244225282,820,864,19315,10.208483518764499
0,179902762,"(3.8243006449849011, 8.1574434240123281)",49.90000000000009,3.824300644984901,27,14843.40499229851,236,503,845,14.069711466498664
0,177940571,"(5.2862664197745657, 14.531547093839713)",4.5,5.286266419774566,29,62142.965095745,88,242,1158,7.97531381285193
1,177940571,"(29.602507860365119, 35.669032025550848)",1235.7000000000003,29.60250786036512,29,42390.25745208391,493,594,12782,7.854747363261013
0,176449272,"(3.7933562826997407, 8.1562006785390295)",49.09999999999991,3.7933562826997407,31,14651.281187496423,234,503,769,13.604402822160857
0,166812961,"(3.8106304447786052, 8.135446829134926)",49.19999999999982,3.8106304447786052,32,14583.619326232967,235,502,832,12.787422929146638
0,165639654,"(0.0, 6.275740365615718)",0.0,0.0,34,27697.731583726614,0,193,0,12.707503250435003
1,165639654,"(7.1416232741372241, 16.08988778008376)",287.70000000000005,7.141623274137224,34,64714.21600100365,220,498,2936,7.224010536786053
0,181712145,"(5.2988802863285578, 14.479165372140134)",5.399999999999636,5.298880286328558,35,69402.43763413114,180,492,1204,6.4753381499523
0,163393958,"(3.8458622789466492, 8.2008152410304849)",49.5,3.8458622789466492,36,14847.07328030958,236,503,839,13.082241481357213
0,152375811,"(3.8029875601178125, 8.118918314340041)",49.40000000000009,3.8029875601178125,38,14715.816068420514,234,500,841,13.21091649051257
0,151941590,"(3.7720431978326521, 8.105372388681074)",49.30000000000018,3.772043197832652,39,14861.535740850104,233,501,838,13.515942807238806
0,144011828,"(3.8252948413635406, 8.1568841885493448)",49.19999999999982,3.8252948413635406,41,14806.247860196641,236,503,841,13.581272684639728
